month,day,hour,GHI,solar_zenith_angle,clearsky_GHI,temperature,relative_humidity
1,13,13,991,19.26,991,28.1,76.94
1,13,13,974,21.63,974,28.1,76.87
1,13,14,938,25.9,938,28.1,76.85000000000001
1,13,14,884,31.31,884,28.1,76.85000000000001
1,13,15,736,37.36,813,28.0,77.51
1,13,15,637,43.78,726,27.8,78.41
1,13,16,628,50.42,628,27.700000000000003,79.75
1,13,16,517,57.21,517,27.5,80.69
1,13,17,399,64.08,399,27.3,83.62
1,13,17,200,71.0,277,27.1,84.60000000000001
1,13,18,131,77.94,158,26.9,86.69
1,13,18,46,84.84,54,26.8,87.28
1,14,6,0,100.25,0,25.0,95.68
1,14,6,0,93.29,0,25.200000000000003,94.65
1,14,7,4,86.13,37,25.4,95.87
1,14,7,7,79.25,135,25.6,94.84
1,14,8,32,72.31,253,25.9,96.47
1,14,8,93,65.37,374,26.1,95.34
1,14,9,154,58.48,494,26.200000000000003,96.48
1,14,9,320,51.67,606,26.3,95.92
1,14,10,324,44.98,709,26.4,94.02
1,14,10,582,38.49,798,26.6,92.83
1,14,11,637,32.34,874,26.700000000000003,90.95
1,14,11,612,26.76,931,26.8,90.42
1,14,12,666,22.18,973,26.9,89.05
1,14,12,773,19.35,994,26.8,89.48
1,14,13,711,19.07,997,26.8,89.01
1,14,13,534,21.43,980,26.700000000000003,89.53
1,14,14,271,25.72,944,26.700000000000003,89.24
1,14,14,238,31.14,890,26.5,90.29
1,14,15,58,37.21,815,26.4,90.85
1,14,15,47,43.64,728,26.3,91.38
1,14,16,95,50.29,630,26.200000000000003,92.56
1,14,16,137,57.09,519,26.1,93.1
1,14,17,85,63.97,401,26.0,94.29
1,14,17,97,70.9,279,25.9,94.85
1,14,18,53,77.85000000000001,160,25.8,94.26
1,14,18,13,84.76,55,25.6,95.38
1,15,6,0,100.35,0,25.0,97.28
1,15,6,0,93.39,0,25.0,97.38
1,15,7,36,86.21000000000001,36,25.0,98.03
1,15,7,37,79.33,134,25.1,97.54
1,15,8,252,72.38,252,25.3,97.27
1,15,8,282,65.43,374,25.4,96.7
1,15,9,327,58.53,495,25.5,96.19
1,15,9,311,51.7,608,25.8,94.5
1,15,10,358,45.0,712,26.0,92.1
1,15,10,801,38.5,801,26.4,89.96000000000001
1,15,11,877,32.32,877,26.9,84.53
1,15,11,936,26.7,936,27.200000000000003,83.06
1,15,12,977,22.08,977,27.6,79.09
1,15,12,998,19.2,998,27.8,78.10000000000001
1,15,13,1000,18.88,1000,28.1,75.75
1,15,13,983,21.23,983,28.200000000000003,75.32000000000001
1,15,14,783,25.53,947,28.4,74.02
1,15,14,778,30.97,893,28.4,74.02
1,15,15,817,37.05,817,28.4,73.99
1,15,15,731,43.5,731,28.200000000000003,74.85000000000001
1,15,16,632,50.17,632,28.1,75.84
1,15,16,378,56.97,521,27.9,76.73
1,15,17,326,63.86,403,27.6,79.84
1,15,17,281,70.8,281,27.3,81.25
1,15,18,161,77.76,161,27.0,84.16
1,15,18,40,84.68,56,26.700000000000003,85.65
1,16,6,0,100.45,0,24.8,96.82
1,16,6,0,93.48,0,24.9,96.34
1,16,7,36,86.29,36,25.1,95.35
1,16,7,133,79.4,133,25.3,94.22
1,16,8,252,72.44,252,25.6,91.42
1,16,8,374,65.49,374,25.9,89.81
1,16,9,394,58.58,494,26.1,88.42
1,16,9,499,51.74,607,26.3,87.39
1,16,10,531,45.02,709,26.5,86.72
1,16,10,799,38.49,799,26.700000000000003,85.71000000000001
1,16,11,662,32.29,873,26.9,84.34
1,16,11,680,26.63,932,27.0,83.85000000000001
1,16,12,706,21.97,966,27.200000000000003,82.62
1,16,12,731,19.04,988,27.3,82.06
1,16,13,992,18.68,992,27.4,81.54
1,16,13,975,21.03,975,27.5,81.07000000000001
1,16,14,941,25.34,941,27.5,81.02
1,16,14,887,30.8,887,27.5,81.02
1,16,15,816,36.9,816,27.5,81.41
1,16,15,730,43.36,730,27.4,81.89
1,16,16,632,50.04,632,27.3,83.36
1,16,16,521,56.86,521,27.1,84.34
1,16,17,403,63.76,403,27.0,86.63
1,16,17,281,70.71000000000001,281,26.8,87.65
1,16,18,161,77.67,161,26.6,90.26
1,16,18,56,84.60000000000001,56,26.4,91.33
1,17,6,0,100.55,0,25.200000000000003,98.61
1,17,6,0,93.57,0,25.4,97.54
1,17,7,9,86.37,34,25.5,98.19
1,17,7,26,79.48,130,25.8,96.47
1,17,8,56,72.51,246,26.0,96.63
1,17,8,91,65.54,368,26.200000000000003,95.5
1,17,9,409,58.620000000000005,489,26.4,93.04
1,17,9,324,51.77,601,26.8,90.89
1,17,10,359,45.03,705,27.200000000000003,86.47
1,17,10,313,38.49,795,27.5,84.97
1,17,11,310,32.25,870,27.9,80.66
1,17,11,451,26.56,929,28.1,79.72
1,17,12,190,21.85,969,28.4,76.79
1,17,12,275,18.87,991,28.5,76.27
1,17,13,365,18.48,992,28.700000000000003,74.48
1,17,13,582,20.82,976,28.700000000000003,74.48
